Brand,Model,Body,Color,Year,Fuel,Kilometers,Engine,Transmission,Price,Gov,price_category
Fiat,Tipo,Sedan,Other Color,2021,Benzine,0 to 9999,1600 CC,Automatic,419.8,Giza,4
Hyundai,Verna,Sedan,Silver,2009,Benzine,10000 to 19999,1600 CC,Manual,82.5,Qalyubia,0
Chevrolet,Optra,Sedan,Blue- Navy Blue,2019,Benzine,30000 to 39999,1600 CC,Automatic,264.5,Cairo,2
Hyundai,Verna,Sedan,Other Color,2007,Benzine,30000 to 39999,1600 CC,Manual,100.0,Red Sea,1
Fiat,128,Sedan,Red,1978,Benzine,More than 200000,1000 - 1300 CC,Manual,14.4,Giza,0
Chevrolet,Cruze,Sedan,Silver,2015,Benzine,180000 to 199999,1600 CC,Automatic,230.0,Port Said,2
Chevrolet,Aveo,Sedan,Silver,2019,Natural Gas,More than 200000,1400 - 1500 CC,Automatic,195.5,Giza,1
Hyundai,Verna,Sedan,Gray,2014,Benzine,0 to 9999,1600 CC,Automatic,145.0,Cairo,1
Chevrolet,Lanos,Sedan,Burgundy,2017,Benzine,80000 to 89999,1400 - 1500 CC,Manual,115.0,Fayoum,1
Fiat,128,Sedan,Red,1990,Benzine,More than 200000,1000 - 1300 CC,Manual,20.7,Suez,0
Hyundai,Elantra,Sedan,Black,2018,Benzine,20000 to 29999,1600 CC,Automatic,260.0,Giza,2
Fiat,131,Sedan,White,1976,Benzine,30000 to 39999,1600 CC,Manual,20.0,Giza,0
Hyundai,Verna,Sedan,Red,2009,Benzine,180000 to 199999,1400 - 1500 CC,Manual,103.5,Cairo,1
Fiat,Shahin,Sedan,White,2003,Benzine,40000 to 49999,1400 - 1500 CC,Manual,43.7,Alexandria,0
Hyundai,Accent,Sedan,White,2011,Benzine,More than 200000,1600 CC,Automatic,160.0,Giza,1
Chevrolet,Optra,Sedan,Red,2016,Benzine,80000 to 89999,1400 - 1500 CC,Automatic,185.0,Cairo,1
Fiat,Shahin,Sedan,White,1999,Benzine,50000 to 59999,1400 - 1500 CC,Manual,41.4,Sharqia,0
Fiat,Uno,Hatchback,Other Color,1993,Benzine,180000 to 199999,1000 - 1300 CC,Manual,40.0,Alexandria,0
Hyundai,Elantra,Sedan,Red,2021,Benzine,10000 to 19999,1600 CC,Automatic,328.0,Sharqia,3
Hyundai,Accent,Sedan,Other Color,2005,Benzine,100000 to 119999,1000 - 1300 CC,Manual,73.0,Giza,0
Fiat,128,Sedan,White,1988,Benzine,More than 200000,1000 - 1300 CC,Manual,14.9,Suez,0
Hyundai,Tucson,SUV,White,2020,Benzine,30000 to 39999,1600 CC,Automatic,161.4,Cairo,1
Chevrolet,Cruze,Sedan,Gray,2010,Benzine,10000 to 19999,1600 CC,Automatic,160.0,Cairo,1
Fiat,128,Sedan,Other Color,1989,Benzine,More than 200000,1000 - 1300 CC,Manual,27.0,Cairo,0
Hyundai,Elantra,Sedan,Black,2007,Benzine,10000 to 19999,1600 CC,Automatic,160.0,Beheira,1
Fiat,128,Sedan,White,1992,Benzine,180000 to 199999,1000 - 1300 CC,Manual,36.8,Sharqia,0
Hyundai,Elantra,Sedan,Gray,2019,Benzine,70000 to 79999,1600 CC,Automatic,333.5,Cairo,3
Hyundai,Avante,Sedan,White,2015,Benzine,0 to 9999,1600 CC,Automatic,207.0,Asyut,2
Fiat,Shahin,Sedan,White,2001,Benzine,10000 to 19999,1400 - 1500 CC,Manual,40.2,Cairo,0
Fiat,128,Sedan,Red,1987,Benzine,180000 to 199999,1000 - 1300 CC,Manual,23.0,Cairo,0
Chevrolet,Optra,Sedan,Black,2013,Benzine,120000 to 139999,1600 CC,Automatic,161.0,Cairo,1
Hyundai,Elantra,Sedan,Silver,2022,Benzine,50000 to 59999,1600 CC,Automatic,340.0,Cairo,3
Chevrolet,Cruze,Sedan,Blue- Navy Blue,2019,Benzine,120000 to 139999,1600 CC,Automatic,264.5,Giza,2
Chevrolet,Aveo,Sedan,Silver,2009,Benzine,140000 to 159999,1400 - 1500 CC,Manual,100.0,Ismailia,1
Fiat,Shahin,Sedan,Silver,2002,Benzine,20000 to 29999,1400 - 1500 CC,Manual,50.0,Cairo,0
Chevrolet,Optra,Sedan,Gold,2009,Benzine,140000 to 159999,1600 CC,Automatic,155.2,Ismailia,1
Hyundai,Verna,Sedan,Burgundy,2012,Benzine,180000 to 199999,1600 CC,Automatic,140.0,Gharbia,1
Hyundai,Elantra,Sedan,Gold,2019,Benzine,100000 to 119999,1600 CC,Automatic,310.0,Cairo,3
Chevrolet,Aveo,Sedan,Burgundy,2015,Benzine,100000 to 119999,1400 - 1500 CC,Automatic,165.0,Cairo,1
Hyundai,Verna,Sedan,Other Color,2018,Benzine,80000 to 89999,1600 CC,Automatic,181.7,Giza,1
Chevrolet,Optra,Sedan,White,2016,Benzine,100000 to 119999,1400 - 1500 CC,Automatic,157.0,Monufia,1
Chevrolet,Optra,Sedan,Red,2008,Benzine,160000 to 179999,1600 CC,Automatic,135.0,Sharqia,1
Fiat,Tipo,Sedan,Black,2018,Benzine,30000 to 39999,1600 CC,Automatic,290.0,Dakahlia,2
Hyundai,Avante,Sedan,Silver,2010,Benzine,10000 to 19999,1600 CC,Automatic,161.0,Sharqia,1
Hyundai,Verna,Sedan,White,2010,Benzine,50000 to 59999,1600 CC,Manual,75.0,Giza,0
Chevrolet,Lanos,Sedan,Red,2014,Natural Gas,30000 to 39999,1400 - 1500 CC,Manual,145.0,Alexandria,1
Hyundai,Accent,Sedan,Red,1999,Benzine,120000 to 139999,1600 CC,Manual,48.0,Ismailia,0
Chevrolet,Aveo,Sedan,Black,2017,Benzine,160000 to 179999,1400 - 1500 CC,Automatic,161.0,Cairo,1
Fiat,131,Sedan,Green,1979,Benzine,More than 200000,1600 CC,Manual,22.0,Giza,0
Hyundai,Verna,Sedan,White,2015,Benzine,20000 to 29999,1600 CC,Manual,130.0,Cairo,1
Fiat,131,Sedan,Silver,1983,Benzine,0 to 9999,1600 CC,Manual,34.5,Qena,0
Chevrolet,Optra,Sedan,Gray,2019,Benzine,100000 to 119999,1400 - 1500 CC,Automatic,190.0,Cairo,1
Hyundai,Verna,Sedan,Blue- Navy Blue,2010,Benzine,10000 to 19999,1600 CC,Manual,95.5,Giza,0
Hyundai,Tucson,SUV,Gray,2019,Benzine,0 to 9999,1600 CC,Automatic,161.4,Qalyubia,1
Fiat,128,Sedan,Blue- Navy Blue,1980,Benzine,More than 200000,1000 - 1300 CC,Manual,21.0,Dakahlia,0
Chevrolet,Optra,Sedan,Black,2016,Benzine,0 to 9999,1400 - 1500 CC,Automatic,255.0,Alexandria,2
Fiat,131,Sedan,White,1979,Benzine,0 to 9999,1600 CC,Manual,20.0,Cairo,0
Fiat,128,Sedan,Red,1986,Benzine,More than 200000,1000 - 1300 CC,Manual,26.0,Cairo,0
Hyundai,Verna,Sedan,Black,2019,Benzine,100000 to 119999,1600 CC,Manual,189.8,Ismailia,1
Chevrolet,Optra,Sedan,Burgundy,2022,Benzine,0 to 9999,1600 CC,Automatic,270.2,Alexandria,2
Hyundai,Elantra,Sedan,Silver,2017,Benzine,10000 to 19999,1600 CC,Automatic,241.5,Gharbia,2
Fiat,128,Sedan,White,1991,Benzine,90000 to 99999,1000 - 1300 CC,Manual,34.5,Cairo,0
Fiat,Shahin,Sedan,Other Color,2002,Benzine,90000 to 99999,1400 - 1500 CC,Manual,53.0,Qalyubia,0
Hyundai,Verna,Sedan,Silver,2013,Benzine,10000 to 19999,1600 CC,Manual,130.0,Monufia,1
Hyundai,Verna,Sedan,Blue- Navy Blue,2009,Benzine,20000 to 29999,1600 CC,Manual,100.0,Ismailia,1
Fiat,Shahin,Sedan,White,2002,Benzine,More than 200000,1400 - 1500 CC,Manual,48.3,Dakahlia,0
Fiat,Shahin,Sedan,White,1998,Benzine,10000 to 19999,1400 - 1500 CC,Manual,45.0,Giza,0
Hyundai,Accent,Sedan,Other Color,2003,Benzine,10000 to 19999,1400 - 1500 CC,Manual,83.4,Dakahlia,0
Hyundai,Verna,Sedan,White,2019,Natural Gas,20000 to 29999,1600 CC,Manual,158.7,Cairo,1
Chevrolet,Aveo,Sedan,Red,2013,Benzine,More than 200000,1400 - 1500 CC,Manual,126.5,Sharqia,1
Hyundai,Verna,Sedan,White,2018,Benzine,20000 to 29999,1600 CC,Manual,185.6,Cairo,1
Fiat,128,Sedan,Red,1979,Benzine,More than 200000,1000 - 1300 CC,Manual,17.0,Cairo,0
Fiat,131,Sedan,Silver,1981,Benzine,More than 200000,1600 CC,Manual,31.1,Qalyubia,0
Hyundai,Elantra,Sedan,Burgundy,1996,Benzine,More than 200000,1600 CC,Manual,50.0,Qalyubia,0
Hyundai,Elantra,Sedan,Red,1997,Benzine,10000 to 19999,1600 CC,Manual,67.0,Gharbia,0
Chevrolet,Aveo,Sedan,Black,2007,Benzine,10000 to 19999,1400 - 1500 CC,Manual,98.0,Monufia,0
Chevrolet,Optra,Sedan,Black,2019,Benzine,90000 to 99999,1400 - 1500 CC,Automatic,210.4,Cairo,2
Hyundai,Avante,Sedan,Black,2003,Benzine,80000 to 89999,1400 - 1500 CC,Automatic,143.8,Dakahlia,1
Hyundai,Verna,Sedan,Red,2010,Benzine,140000 to 159999,1600 CC,Manual,97.8,Sharqia,0
Hyundai,Verna,Sedan,White,2015,Natural Gas,160000 to 179999,1600 CC,Manual,127.0,Giza,1
Hyundai,Elantra,Sedan,Burgundy,2011,Benzine,140000 to 159999,1600 CC,Automatic,224.2,Beni Suef,2
Chevrolet,Optra,Sedan,Red,2018,Benzine,120000 to 139999,1600 CC,Automatic,200.0,Cairo,2
Hyundai,Verna,Sedan,Black,2011,Benzine,140000 to 159999,1600 CC,Manual,125.0,Cairo,1
Hyundai,Verna,Sedan,Black,2007,Benzine,180000 to 199999,1600 CC,Manual,100.0,Cairo,1
Fiat,Shahin,Sedan,White,2008,Benzine,30000 to 39999,1400 - 1500 CC,Manual,66.7,Qalyubia,0
Fiat,Shahin,Sedan,White,2000,Benzine,60000 to 69999,1400 - 1500 CC,Manual,50.6,Beheira,0
Chevrolet,Aveo,Sedan,Gray,2014,Benzine,More than 200000,1400 - 1500 CC,Manual,132.2,Alexandria,1
Fiat,Punto,Hatchback,Blue- Navy Blue,2000,Benzine,100000 to 119999,1000 - 1300 CC,Manual,55.0,Giza,0
